Error at time=                1315ns readmem=0, expected=1
Error at time=                1315ns addr=0000000000000001, expected=0000000000000010
Error at time=                1515ns readmem=1, expected=0
Error at time=                1715ns readmem=0, expected=1
Error at time=                1715ns addr=0000000000000010, expected=0000000000000011
Error at time=                1915ns readmem=1, expected=0
Error at time=                2315ns readmem=0, expected=1
Error at time=                2315ns addr=0000000000000010, expected=0000000000000000
Error at time=                2715ns readmem=0, expected=1
Error at time=                2715ns addr=0000000000000010, expected=0000000000000001
Error at time=                3115ns addr=0000000000000100, expected=0000000000000010
Error at time=                3515ns addr=0000000000000101, expected=0000000000000011
Error at time=                4115ns addr=0000000000000110, expected=0000000000000000
Error at time=                4515ns addr=0000000000000111, expected=0000000000000001
Error at time=                4915ns readmem=0, expected=1
Error at time=                4915ns addr=0000000000000101, expected=0000000000000010
Error at time=                5315ns readmem=0, expected=1
Error at time=                5315ns addr=0000000000000101, expected=0000000000000011
Error at time=                5915ns readmem=0, expected=1
Error at time=                5915ns addr=0000000000001000, expected=0000000000000000
Error at time=                6115ns readmem=1, expected=0
Error at time=                6315ns readmem=0, expected=1
Error at time=                6315ns addr=0000000000001001, expected=0000000000000001
Error at time=                6715ns addr=0000000000001010, expected=0000000000000010
Error at time=                7115ns addr=0000000000001011, expected=0000000000000011
Error at time=                7715ns readmem=0, expected=1
Error at time=                7715ns addr=0000000000000100, expected=0000000000000000
Error at time=                8115ns readmem=0, expected=1
Error at time=                8115ns addr=0000000000000100, expected=0000000000000001
Error at time=                8315ns readmem=1, expected=0
Error at time=                8515ns readmem=0, expected=1
Error at time=                8515ns addr=0000000000001100, expected=0000000000000010
Error at time=                8715ns readmem=1, expected=0
Error at time=                8915ns readmem=0, expected=1
Error at time=                8915ns addr=0000000000001101, expected=0000000000000011
Error at time=                9515ns readmem=0, expected=1
Error at time=                9515ns addr=0000000000001110, expected=0000000000000000
Error at time=                9715ns readmem=1, expected=0
Error at time=                9915ns readmem=0, expected=1
Error at time=                9915ns addr=0000000000001111, expected=0000000000000001
         40 errors found in simulation.
